country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Adjusted net attendance rate, one year before the official primary entry age",2015,29.306061,Female,,%,,,,Total
Afghanistan,AF,AFG,4,"Adjusted net attendance rate, one year before the official primary entry age",2015,38.497471,Male,,%,,,,Total
Afghanistan,AF,AFG,4,"Adjusted net attendance rate, one year before the official primary entry age",2015,34.136059,Total,,%,,,,Total
Algeria,DZ,DZA,12,"Adjusted net attendance rate, one year before the official primary entry age",2020,79.780457,Female,,%,,,,Total
Algeria,DZ,DZA,12,"Adjusted net attendance rate, one year before the official primary entry age",2020,76.693977,Male,,%,,,,Total
Algeria,DZ,DZA,12,"Adjusted net attendance rate, one year before the official primary entry age",2020,78.145416,Total,,%,,,,Total
Angola,AO,AGO,24,"Adjusted net attendance rate, one year before the official primary entry age",2016,50.53513,Female,,%,,,,Total
Angola,AO,AGO,24,"Adjusted net attendance rate, one year before the official primary entry age",2016,55.051651,Male,,%,,,,Total
Angola,AO,AGO,24,"Adjusted net attendance rate, one year before the official primary entry age",2016,52.865299,Total,,%,,,,Total
Argentina,AR,ARG,32,"Adjusted net attendance rate, one year before the official primary entry age",2020,80.490463,Female,,%,,,,Total
Argentina,AR,ARG,32,"Adjusted net attendance rate, one year before the official primary entry age",2020,87.571136,Male,,%,,,,Total
Argentina,AR,ARG,32,"Adjusted net attendance rate, one year before the official primary entry age",2020,84.045921,Total,,%,,,,Total
Armenia,AM,ARM,51,"Adjusted net attendance rate, one year before the official primary entry age",2016,64.800003,Female,,%,,,,Total
Armenia,AM,ARM,51,"Adjusted net attendance rate, one year before the official primary entry age",2016,58.900002,Male,,%,,,,Total
Armenia,AM,ARM,51,"Adjusted net attendance rate, one year before the official primary entry age",2016,61.5,Total,,%,,,,Total
Azerbaijan,AZ,AZE,31,"Adjusted net attendance rate, one year before the official primary entry age",2011,66.699997,Female,,%,,,,Total
Azerbaijan,AZ,AZE,31,"Adjusted net attendance rate, one year before the official primary entry age",2011,68.599998,Male,,%,,,,Total
Azerbaijan,AZ,AZE,31,"Adjusted net attendance rate, one year before the official primary entry age",2011,67.699997,Total,,%,,,,Total
